hash_id	audio_path	duration	annotator_emo	golden_emo	annotator_id	speaker_text	speaker_emo	source_id
475e76f77ac1ed7cabafca740b15b32a	wavs/475e76f77ac1ed7cabafca740b15b32a.wav	2.4530000000000003	angry		858305a5450b7bd1288ba0053b1cd1c1	не надо не надо не надо не надо	angry	fa136da095807ea6cd18dd6e2f58d4d0
8ed32fa0fa238fd093d78bd6a546e644	wavs/8ed32fa0fa238fd093d78bd6a546e644.wav	4.32	angry		858305a5450b7bd1288ba0053b1cd1c1	нельзя дышать потому что там нет кислорода	angry	48a7c8414b4e48516effda3dc07bf87b
1c4468d1b9aac07ee2d2fe0f78a49cb4	wavs/1c4468d1b9aac07ee2d2fe0f78a49cb4.wav	2.4743125	angry		858305a5450b7bd1288ba0053b1cd1c1	бесишь меня ты	angry	0dc1bb6212dd50b3c4838c54621f4e65
1b8c3332e12063486015a563cf7355fe	wavs/1b8c3332e12063486015a563cf7355fe.wav	3.46	angry		858305a5450b7bd1288ba0053b1cd1c1	хватит дай	angry	36643bd978c137ba16198883cfde888f
c2109e63c4227e4538ca65ca72a02254	wavs/c2109e63c4227e4538ca65ca72a02254.wav	5.58	angry		858305a5450b7bd1288ba0053b1cd1c1	похуй давай сделаем хочу без денег сидеть	angry	bbd00089f3118388ebd61970d0227f2f
af1a5dc04655c1b708e97adfa8607f76	wavs/af1a5dc04655c1b708e97adfa8607f76.wav	6.54	angry		858305a5450b7bd1288ba0053b1cd1c1	и как это что что ты думаешь что я что то делаю	angry	297e37c5250f5f4d24f64890a54d823b
9939c56e016fd75769a19eb6a3f68cde	wavs/9939c56e016fd75769a19eb6a3f68cde.wav	5.72	angry		858305a5450b7bd1288ba0053b1cd1c1	легальный настоящий натуральный не настоящий	angry	c54e5a950446498a7841319956400109
501321f5fff63d8ecf4e4553717cf1be	wavs/501321f5fff63d8ecf4e4553717cf1be.wav	4.74	angry		858305a5450b7bd1288ba0053b1cd1c1	у меня к тебе вопрос зачем мне это знать	angry	fa1780f004389b101392746ec1f91cfc
475e76f77ac1ed7cabafca740b15b32a	wavs/475e76f77ac1ed7cabafca740b15b32a.wav	2.4530000000000003	angry		a5562e26cd8f1949488a2d1e1e549d97	не надо не надо не надо не надо	angry	fa136da095807ea6cd18dd6e2f58d4d0
d86ed39def3c397923442c8cc4a081b7	wavs/d86ed39def3c397923442c8cc4a081b7.wav	9.08	angry		a5562e26cd8f1949488a2d1e1e549d97	ужас какой классный вопрос но только чтобы ела мясо сейчас помыть морковку	angry	a5562e26cd8f1949488a2d1e1e549d97
1b8c3332e12063486015a563cf7355fe	wavs/1b8c3332e12063486015a563cf7355fe.wav	3.46	angry		a5562e26cd8f1949488a2d1e1e549d97	хватит дай	angry	36643bd978c137ba16198883cfde888f
8ed32fa0fa238fd093d78bd6a546e644	wavs/8ed32fa0fa238fd093d78bd6a546e644.wav	4.32	angry		a5562e26cd8f1949488a2d1e1e549d97	нельзя дышать потому что там нет кислорода	angry	48a7c8414b4e48516effda3dc07bf87b
c2109e63c4227e4538ca65ca72a02254	wavs/c2109e63c4227e4538ca65ca72a02254.wav	5.58	angry		a5562e26cd8f1949488a2d1e1e549d97	похуй давай сделаем хочу без денег сидеть	angry	bbd00089f3118388ebd61970d0227f2f
1c4468d1b9aac07ee2d2fe0f78a49cb4	wavs/1c4468d1b9aac07ee2d2fe0f78a49cb4.wav	2.4743125	angry		a5562e26cd8f1949488a2d1e1e549d97	бесишь меня ты	angry	0dc1bb6212dd50b3c4838c54621f4e65
